DATAFLOW,LAST UPDATE,freq,c_resid,unit,nace_r2,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),12/04/23 23:00:00,A,TOTAL,NR,I551-I553,AT31,2014,2389757,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),12/04/23 23:00:00,A,TOTAL,NR,I551-I553,AT31,2015,2512007,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),12/04/23 23:00:00,A,TOTAL,NR,I551-I553,AT31,2016,2617650,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),12/04/23 23:00:00,A,TOTAL,NR,I551-I553,AT31,2017,2740410,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),12/04/23 23:00:00,A,TOTAL,NR,I551-I553,AT31,2018,2897439,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),12/04/23 23:00:00,A,TOTAL,NR,I551-I553,AT31,2019,3012244,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),12/04/23 23:00:00,A,TOTAL,NR,I551-I553,AT31,2020,1603358,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),12/04/23 23:00:00,A,TOTAL,NR,I551-I553,AT31,2021,1680026,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),12/04/23 23:00:00,A,TOTAL,NR,I551-I553,AT32,2012,5505406,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),12/04/23 23:00:00,A,TOTAL,NR,I551-I553,AT32,2013,5672162,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),12/04/23 23:00:00,A,TOTAL,NR,I551-I553,AT32,2014,5736186,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),12/04/23 23:00:00,A,TOTAL,NR,I551-I553,AT32,2015,6006196,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),12/04/23 23:00:00,A,TOTAL,NR,I551-I553,AT32,2016,6368416,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),12/04/23 23:00:00,A,TOTAL,NR,I551-I553,AT32,2017,6725451,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),12/04/23 23:00:00,A,TOTAL,NR,I551-I553,AT32,2018,6984464,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),12/04/23 23:00:00,A,TOTAL,NR,I551-I553,AT32,2019,7201019,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),12/04/23 23:00:00,A,TOTAL,NR,I551-I553,AT32,2020,4022106,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),12/04/23 23:00:00,A,TOTAL,NR,I551-I553,AT32,2021,3223687,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),12/04/23 23:00:00,A,TOTAL,NR,I551-I553,AT33,2012,8312629,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),12/04/23 23:00:00,A,TOTAL,NR,I551-I553,AT33,2013,8552390,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),12/04/23 23:00:00,A,TOTAL,NR,I551-I553,AT33,2014,8638959,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),12/04/23 23:00:00,A,TOTAL,NR,I551-I553,AT33,2015,9166148,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),12/04/23 23:00:00,A,TOTAL,NR,I551-I553,AT33,2016,9622919,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),12/04/23 23:00:00,A,TOTAL,NR,I551-I553,AT33,2017,9980743,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),12/04/23 23:00:00,A,TOTAL,NR,I551-I553,AT33,2018,10383031,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),12/04/23 23:00:00,A,TOTAL,NR,I551-I553,AT33,2019,10508744,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),12/04/23 23:00:00,A,TOTAL,NR,I551-I553,AT33,2020,6014458,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),12/04/23 23:00:00,A,TOTAL,NR,I551-I553,AT33,2021,5019250,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),12/04/23 23:00:00,A,TOTAL,NR,I551-I553,AT34,2012,1843981,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),12/04/23 23:00:00,A,TOTAL,NR,I551-I553,AT34,2013,1890546,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),12/04/23 23:00:00,A,TOTAL,NR,I551-I553,AT34,2014,1872929,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),12/04/23 23:00:00,A,TOTAL,NR,I551-I553,AT34,2015,1950820,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),12/04/23 23:00:00,A,TOTAL,NR,I551-I553,AT34,2016,2030983,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),12/04/23 23:00:00,A,TOTAL,NR,I551-I553,AT34,2017,2076034,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),12/04/23 23:00:00,A,TOTAL,NR,I551-I553,AT34,2018,2125826,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),12/04/23 23:00:00,A,TOTAL,NR,I551-I553,AT34,2019,2146592,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),12/04/23 23:00:00,A,TOTAL,NR,I551-I553,AT34,2020,1330113,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),12/04/23 23:00:00,A,TOTAL,NR,I551-I553,AT34,2021,1098080,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),12/04/23 23:00:00,A,TOTAL,NR,I551-I553,BE,2012,13872644,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),12/04/23 23:00:00,A,TOTAL,NR,I551-I553,BE,2013,14152360,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),12/04/23 23:00:00,A,TOTAL,NR,I551-I553,BE,2014,14641070,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),12/04/23 23:00:00,A,TOTAL,NR,I551-I553,BE,2015,15846926,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),12/04/23 23:00:00,A,TOTAL,NR,I551-I553,BE,2016,15210781,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),12/04/23 23:00:00,A,TOTAL,NR,I551-I553,BE,2017,16319257,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),12/04/23 23:00:00,A,TOTAL,NR,I551-I553,BE,2018,17559915,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),12/04/23 23:00:00,A,TOTAL,NR,I551-I553,BE,2019,18057611,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),12/04/23 23:00:00,A,TOTAL,NR,I551-I553,BE,2020,7376417,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),12/04/23 23:00:00,A,TOTAL,NR,I551-I553,BE,2021,10971971,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),12/04/23 23:00:00,A,TOTAL,NR,I551-I553,BE1,2012,3170645,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),12/04/23 23:00:00,A,TOTAL,NR,I551-I553,BE1,2013,3290603,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),12/04/23 23:00:00,A,TOTAL,NR,I551-I553,BE1,2014,3420194,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),12/04/23 23:00:00,A,TOTAL,NR,I551-I553,BE1,2015,3353899,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),12/04/23 23:00:00,A,TOTAL,NR,I551-I553,BE1,2016,2846481,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),12/04/23 23:00:00,A,TOTAL,NR,I551-I553,BE1,2017,3416094,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),12/04/23 23:00:00,A,TOTAL,NR,I551-I553,BE1,2018,3712055,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),12/04/23 23:00:00,A,TOTAL,NR,I551-I553,BE1,2019,3919119,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),12/04/23 23:00:00,A,TOTAL,NR,I551-I553,BE1,2020,992289,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),12/04/23 23:00:00,A,TOTAL,NR,I551-I553,BE1,2021,1312089,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),12/04/23 23:00:00,A,TOTAL,NR,I551-I553,BE10,2012,3170645,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),12/04/23 23:00:00,A,TOTAL,NR,I551-I553,BE10,2013,3290603,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),12/04/23 23:00:00,A,TOTAL,NR,I551-I553,BE10,2014,3420194,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),12/04/23 23:00:00,A,TOTAL,NR,I551-I553,BE10,2015,3353899,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),12/04/23 23:00:00,A,TOTAL,NR,I551-I553,BE10,2016,2846481,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),12/04/23 23:00:00,A,TOTAL,NR,I551-I553,BE10,2017,3416094,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),12/04/23 23:00:00,A,TOTAL,NR,I551-I553,BE10,2018,3712055,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),12/04/23 23:00:00,A,TOTAL,NR,I551-I553,BE10,2019,3919119,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),12/04/23 23:00:00,A,TOTAL,NR,I551-I553,BE10,2020,992289,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),12/04/23 23:00:00,A,TOTAL,NR,I551-I553,BE10,2021,1312089,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),12/04/23 23:00:00,A,TOTAL,NR,I551-I553,BE2,2012,7882327,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),12/04/23 23:00:00,A,TOTAL,NR,I551-I553,BE2,2013,8010777,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),12/04/23 23:00:00,A,TOTAL,NR,I551-I553,BE2,2014,8359077,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),12/04/23 23:00:00,A,TOTAL,NR,I551-I553,BE2,2015,9265307,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),12/04/23 23:00:00,A,TOTAL,NR,I551-I553,BE2,2016,9063946,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),12/04/23 23:00:00,A,TOTAL,NR,I551-I553,BE2,2017,9510003,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),12/04/23 23:00:00,A,TOTAL,NR,I551-I553,BE2,2018,10322116,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),12/04/23 23:00:00,A,TOTAL,NR,I551-I553,BE2,2019,10442652,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),12/04/23 23:00:00,A,TOTAL,NR,I551-I553,BE2,2020,4431080,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),12/04/23 23:00:00,A,TOTAL,NR,I551-I553,BE2,2021,6848505,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),12/04/23 23:00:00,A,TOTAL,NR,I551-I553,BE21,2012,1739282,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),12/04/23 23:00:00,A,TOTAL,NR,I551-I553,BE21,2013,1708843,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),12/04/23 23:00:00,A,TOTAL,NR,I551-I553,BE21,2014,1739187,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),12/04/23 23:00:00,A,TOTAL,NR,I551-I553,BE21,2015,1856366,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),12/04/23 23:00:00,A,TOTAL,NR,I551-I553,BE21,2016,1825802,
ESTAT:TOUR_OCC_ARN2$DEFAULTVIEW(1.0),12/04/23 23:00:00,A,TOTAL,NR,I551-I553,BE21,2017,1922409,
